"shopProductID","productID","shopID","stockTake","productName","price"
1097,376,3,1,"Onion Flower",1
1098,377,3,1,"Chive (He )kg",1
1099,378,3,1,"Pandan leaf",1
1100,379,3,1,"La Lot",1
1101,380,3,1,"Hanh huong Kg",1
1102,381,3,1,"Bac ha kg",1
1103,382,3,1,"Kinh gioi Kg",1
1104,383,3,1,"Rau dang kg",1
1105,384,3,1,"Dot lang Kg",1
1106,385,3,1,"Gala 1.5 kg",1
1107,386,3,1,"Water Cress",1
1108,387,3,1,"Sugar snap",1
1109,388,3,1,"Mesculin mix",1
1110,389,3,1,"Baby spinach in bag",1
1111,390,3,1,"Dates 250g",1
1112,391,3,1,"Dates 5kg",1
1113,392,3,1,"Dot Dau",1
1114,393,3,1,"Bong He",1
1115,394,3,1,"Purple yam",1
1116,395,3,1,"Star fruit",1
